,m_id,m_Label,m_TypeID,m_DisplayLevel,m_BreakRate,m_MaxSLD,m_MaxHP,m_MaxSP,m_AtkP,m_DefP,m_AtkM,m_DefM,m_Agi,m_Crt,m_CrtDef,m_EquipAtk,m_ResistAilmentID,m_ResistAilment,m_TacticalAssignID,m_SkillsID,m_Exp,m_Money,m_DropReward,m_EventDropRewards,m_StatusOffset,m_Bottle,m_Name,m_Level,m_Hp,m_Shield,m_RaceIndices,m_DisplaySpecialSkillGauge,m_GenerateSpecialSkillValueOrverTurn,m_ReduceSpecialSkillValueBreak,m_MaxSpecialSkillValue
0,0,NONE,0,,200,1,1,1,1,1,1,1,1,0,0,0,0,m_ResistAilment_v_0,0,0,0,0,0,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_0,m_Level_v_0,m_Hp_v_0,m_Shield_v_0,93000000da001a,194,0,0,0.0
1,1,Forest_Enemy_01a_001,100,1,200,2,91,2,99,10,99,7,69,56,110,10,0,m_ResistAilment_v_0,2,1,4,19,1,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000100da001a,194,0,0,0.0
2,2,Forest_Enemy_01a_002,101,1,200,2,82,2,99,11,99,8,68,65,110,10,0,m_ResistAilment_v_0,3,2,3,19,2,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000200da001a,194,0,0,0.0
3,3,Forest_Enemy_01a_003,102,1,200,2,87,2,104,7,104,4,72,53,110,10,0,m_ResistAilment_v_0,3,3,3,20,3,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000300da001a,194,0,0,0.0
4,4,Forest_Enemy_01a_004,103,1,200,2,96,2,93,12,93,9,65,60,110,10,0,m_ResistAilment_v_0,8,4,4,19,4,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000400da001a,194,0,0,0.0
5,5,Forest_Enemy_01b_001,100,1,200,2,91,2,99,10,99,7,69,56,110,10,0,m_ResistAilment_v_0,2,6,4,19,5,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000100da001a,194,0,0,0.0
6,6,Forest_Enemy_01b_002,101,1,200,2,82,2,99,11,99,8,68,65,110,10,0,m_ResistAilment_v_0,3,7,3,19,6,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000200da001a,194,0,0,0.0
7,7,Forest_Enemy_01b_003,102,1,200,2,87,2,104,7,104,4,72,53,110,10,0,m_ResistAilment_v_0,3,8,3,20,7,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000300da001a,194,0,0,0.0
8,8,Forest_Enemy_01b_004,103,1,200,2,96,2,93,12,93,9,65,60,110,10,0,m_ResistAilment_v_0,8,9,4,19,8,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000400da001a,194,0,0,0.0
9,9,Forest_Enemy_02_001,104,7,200,2,186,14,124,14,124,11,81,52,124,16,0,m_ResistAilment_v_0,3,11,9,49,9,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000500da001a,194,0,0,0.0
10,10,Forest_Enemy_02_002,105,7,200,2,212,14,106,20,106,17,75,63,124,16,0,m_ResistAilment_v_0,8,12,7,56,10,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000600da001a,194,0,0,0.0
11,11,Forest_Enemy_02_003,106,7,200,2,212,14,106,20,106,17,75,63,124,16,0,m_ResistAilment_v_0,6,13,7,56,11,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000700da001a,194,0,0,0.0
12,12,Forest_Enemy_02_004,107,7,200,2,176,14,112,18,112,14,78,76,124,16,0,m_ResistAilment_v_0,8,14,8,54,12,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000800da001a,194,0,0,0.0
13,13,Forest_Enemy_03_001,108,9,200,2,190,18,130,17,130,13,85,55,130,18,0,m_ResistAilment_v_0,3,17,10,63,13,m_EventDropRewards_v_0,92ca00000000ca00000000a8,0,m_Name_v_1,m_Level_v_1,m_Hp_v_1,m_Shield_v_1,93000500da001a,194,0,0,0.0
